[2023-01-25T12:04:36.265] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:05:14.592] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:05:14.791] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:15:03.604] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:18:10.285] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:18:11.619] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:18:23.571] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:18:27.413] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:18:27.593] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:19:26.506] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:33:49.747] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:33:55.162] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:11.939] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:43.913] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:34:44.175] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:52.183] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:53.683] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:55.527] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:34:55.730] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:57.476] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:34:57.692] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:58.601] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:34:58.776] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:34:59.573] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:35:02.846] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:35:06.808] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:35:06.929] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:35:07.542] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:01.863] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:04.111] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:21.884] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:30.497] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:52:30.745] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:34.501] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:36.309] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T12:52:37.754] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T12:52:37.975] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
